state,st_case,county,city,day,month,year,day_week,hour,minute,latitude,longitud,fatals
37,370570,57,0,11,6,2018,2,8,32,35.90000556,-80.3232,1
37,370571,57,4590,16,6,2018,7,19,2,35.86048333,-80.0894,1
37,370572,57,2620,17,6,2018,1,17,21,35.77219167,-80.3224,1
37,370573,57,0,18,6,2018,2,20,13,35.67536944,-80.2513,1
37,370574,59,0,15,6,2018,6,8,49,35.88327222,-80.6782,1
37,370575,61,0,3,6,2018,1,4,16,35.175075,-78.0328,1
37,370576,61,0,16,6,2018,7,22,58,34.83861111,-77.9547,1
37,370577,61,0,19,6,2018,3,20,48,34.99605556,-77.9227,1
37,370578,63,1360,18,6,2018,2,2,41,36.01608333,-78.9056,1
37,370579,63,0,21,6,2018,5,8,27,36.01481111,-78.9404,1
37,370580,67,5120,11,6,2018,2,19,35,36.16066389,-80.1715,1
37,370581,67,4604,13,6,2018,4,13,2,36.21117222,-80.3563,1
37,370582,67,5120,23,6,2018,7,23,5,36.09844722,-80.2818,1
37,370583,67,5120,28,6,2018,5,17,29,36.16623889,-80.3341,1
37,370584,71,0,4,6,2018,2,17,18,35.23767222,-81.3426,1
37,370585,75,0,15,6,2018,6,14,45,35.32133889,-83.8029,1
37,370586,75,0,18,6,2018,2,13,10,35.43522778,-83.8171,1
37,370587,75,0,22,6,2018,6,11,38,35.32524444,-83.7816,1
37,370588,77,0,17,6,2018,1,18,15,36.30849444,-78.5954,1
37,370589,81,0,2,6,2018,7,23,25,36.00051389,-79.7825,2
37,370590,81,1940,10,6,2018,1,9,8,36.07381667,-79.8,1
37,370591,81,2170,11,6,2018,2,15,3,35.98647222,-80.0252,1
37,370592,81,2170,14,6,2018,5,21,45,35.98369167,-79.9829,1
37,370593,81,0,15,6,2018,6,10,39,36.03910833,-79.9155,1
37,370594,81,1940,16,6,2018,7,21,43,36.08473056,-79.737,1
37,370595,81,1940,25,6,2018,2,21,37,36.06163333,-79.7583,1
37,370596,81,1940,27,6,2018,4,23,13,36.08807222,-79.7649,1
37,370597,81,1940,29,6,2018,6,20,3,36.072925,-79.9356,1
37,370598,83,0,18,6,2018,2,21,13,36.4323,-77.7207,1
37,370599,85,0,4,6,2018,2,9,33,35.41421944,-78.7138,1
37,370600,85,0,5,6,2018,3,7,44,35.33218333,-78.6458,2
37,370601,89,0,6,6,2018,4,22,48,35.34310556,-82.4421,1
37,370602,89,0,13,6,2018,4,10,56,35.32046944,-82.4916,1
37,370603,97,4430,17,6,2018,1,5,27,35.78549444,-80.8794,1
37,370604,101,0,10,6,2018,1,10,50,35.58786111,-78.1508,1
37,370605,101,0,24,6,2018,1,15,27,35.29094167,-78.3592,1
37,370606,107,0,11,6,2018,2,12,55,35.28867778,-77.7998,1
37,370607,107,0,13,6,2018,4,11,44,35.29446667,-77.8035,1
37,370608,107,0,23,6,2018,7,23,47,35.28936667,-77.6584,1
